Player 1,Player 2,Winner,Duration
boo4,baba3,boo4,215.76
baba3,boo4,Draw,995.63
boo4,baudelaire,boo4,1030.9
baudelaire,boo4,boo4,713.32
boo4,gumball,boo4,306.06
gumball,boo4,boo4,372.27
boo4,bobynettebridge,boo4,1068.68
bobynettebridge,boo4,boo4,553.16
boo4,bob,boo4,304.71
bob,boo4,boo4,375.13
baba3,baudelaire,Draw,1010.36
baudelaire,baba3,baba3,836.58
baba3,gumball,baba3,89.31
gumball,baba3,gumball,70.85
baba3,bobynettebridge,baba3,577.1
bobynettebridge,baba3,bobynettebridge,156.97
baba3,bob,baba3,59.08
bob,baba3,baba3,20.07
baudelaire,gumball,baudelaire,391.05
gumball,baudelaire,gumball,664.88
baudelaire,bobynettebridge,bobynettebridge,718.56
bobynettebridge,baudelaire,bobynettebridge,685.17
baudelaire,bob,baudelaire,414.21
bob,baudelaire,baudelaire,365.16
gumball,bobynettebridge,gumball,327.28
bobynettebridge,gumball,bobynettebridge,263.7
gumball,bob,gumball,14.92
bob,gumball,gumball,13.78
bobynettebridge,bob,bobynettebridge,36.24
bob,bobynettebridge,bobynettebridge,32.1
